title,wiki_page,horror_subgenre,developers,female_developer_present?,release_date,platforms,player_perspective,female_protagonist_playable_character?,Female Antagonist,woman_as_monster,woman_as_monster_keywords,motherhood,motherhood_keywords,domesticity,domesticity_keywords,trauma_and_mental illness,trauma_and_mental_illness_keywords,embodiment,embodiment_keywords,captivity,captivity_keywords,violence,violence_keywords,sexualized_violence,sexualized_violence_keywords,girlhoodhorror,girlhood horror_keywords,queer_themes,queer themes_keywords,combined_keywords,Creed Archetypes,Creed Archetypes - Evidence,
A Plague Tale: Innocence,en.wikipedia.org/wiki/A_Plague_Tale:_Innocence,survival horror,Asobo Studio,NONE LISTED,2019-05-14,PS4; Windows; Xbox One,third-person,TRUE,No,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,illness,TRUE,imprisoned; escape,TRUE,kills,FALSE,,TRUE,teen,FALSE,,,Monstrous Womb,"mother whose child turns out monstrous: ""Hugo's blood carries a supernatural evil called the Prima Macula, which has lain dormant within certain noble bloodlines since the Plague of Justinian.""",
Alice: Madness Returns,https://en.wikipedia.org/wiki/Alice%3A_Madness_Returns,psychological horror,Spicy Horse,NONE LISTED,2011-06-14,Windows; PlayStation 3; Xbox 360,third-person,TRUE,No,FALSE,,FALSE,,FALSE,,TRUE,trauma; hallucination; asylum; hallucinate,TRUE,memories,TRUE,locked; escape,TRUE,rape; raped,TRUE,rape; raped,TRUE,young woman,FALSE,,,Femme Castarice,protagonist kills a man after discovering he killed her family and raped her sister,
Alien: Isolation,https://en.wikipedia.org/wiki/Alien:_Isolation,survival horror,Creative Assembly,NONE LISTED,2014-10-07,PlayStation 3; PlayStation 4; Windows; Xbox 360; Xbox One; Linux OS X; Nintendo Switch; Android iOS,first-person,TRUE,No,FALSE,,TRUE,mother; daughter,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,killed,FALSE,,FALSE,,FALSE,,,Archaic Mother,Alien is the example Creed uses for this archetype,
American McGee's Alice,https://en.wikipedia.org/wiki/American_McGee%27s_Alice,adventure horror,Rogue Entertainment [ a ],NONE LISTED,2000-12-05,Windows; Mac OS,third-person,TRUE,Yes,FALSE,,FALSE,,FALSE,,TRUE,trauma; asylum; hallucinate,TRUE,flesh; disfigured,TRUE,captive,TRUE,violent; violence; murder; killed,FALSE,,TRUE,young woman,FALSE,,,None,,
Amnesia: Rebirth,en.wikipedia.org/wiki/Amnesia:_Rebirth,survival horror,Frictional Games,NONE LISTED,2020-10-20,Linux; Windows; PS4; Amazon Luna; Xbox One; Series X/S,first-person,TRUE,Yes,FALSE,,TRUE,mother; motherhood; pregnant; daughter,FALSE,,TRUE,trauma; hallucinate,TRUE,body horror; mutated; body; memories,FALSE,,TRUE,killed,FALSE,,FALSE,,FALSE,,,Monstrous Womb,"not a perfect fit, but an evil alien civillization attmepting to claim the protagonist's child seems close to this at least.",
Amy,https://en.wikipedia.org/wiki/Amy_%28video_game%29,survival horror,VectorCell,NONE LISTED,2012-01-11,Xbox 360; PlayStation 3,,TRUE,No,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,infected,FALSE,,FALSE,,FALSE,,TRUE,girl,FALSE,,,Witch,"""an organisation who intends to control Amy and exploit her strange powers""",
Anchorhead,https://en.wikipedia.org/wiki/Anchorhead,lovecraftian horror,Michael S. Gentry,FALSE,1998,Z-machine version 8,,TRUE,No,FALSE,,TRUE,pregnant; daughter,TRUE,wife; husband; family,FALSE,,FALSE,,FALSE,,TRUE,killed,FALSE,,FALSE,,FALSE,,,Monstrous Womb,main character ends the game pregnant with the implication that her child may become possesed,
Araya,https://en.wikipedia.org/wiki/Araya_%28video_game%29,adventure horror,MAD Virtual Reality Studio,NONE LISTED,2016-11-24,Windows,,TRUE,Yes,FALSE,,TRUE,pregnacy,FALSE,,TRUE,bipolar,FALSE,,FALSE,,TRUE,kills,FALSE,,FALSE,,FALSE,,,"Femme Castarice, Monstrous Womb","femme castarice - vengeful ghost who lashes out after killed by her boyfriend, montrous womb - her boyfriend kills her out of fear/anger that she's pregnant",
BloodRayne,https://en.wikipedia.org/wiki/BloodRayne_%28video_game%29,adventure horror,Terminal Reality,NONE LISTED,2002-10-31,PlayStation 2; Xbox; GameCube; Windows; Mac OS X; Terminal Cut; Windows; Nintendo Switch; PlayStation 4; PlayStation 5; Xbox One; Xbox Series X/S,,TRUE,No,TRUE,vampire,FALSE,,FALSE,,FALSE,,TRUE,implants,FALSE,,TRUE,forcibly,FALSE,,FALSE,,FALSE,,,"Vampire, Archaic Mother","vampire is self-explanatory, but the ancient evil demon with its body parts scattered accross the world that fuse with people seems to fit the archaic mother archetype symbolically even if it isn't female.",
Clock Tower,en.wikipedia.org/wiki/Clock_Tower_(1995_video_game),survival horror,Human Entertainment,NONE LISTED,1995-09-14,Super Famicom,,TRUE,Yes,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,jail cell,TRUE,killed,FALSE,,TRUE,children; young,FALSE,,,"Monstrous Mother, Monstrous Womb",the villain is a mother of two monstrous children who orchestrates the horrors,
